AS45703,BKPM-AS-ID Badan Koordinasi Penanaman Modal (BKPM),0.00,0.00,168,
AS45705,PPTIK-UGM-AS-ID PPTIK - UNIVERSITAS GADJAH MADA,0.00,0.00,7436,
AS45706,TGG-AS-ID Tele Globe Global, PT,0.00,0.00,2019,
AS45707,PRIMELINK-AS-ID Prime Link Communication, PT,0.00,0.00,81,
AS45710,CHOICENET-AS-ID Yudhawira Khatulistiwa, PT,0.00,0.00,318,
AS45711,IMEDIABIZ-AS-ID Imediabiz Indonesia,,,27,
AS45711,IMEDIABIZ-AS-ID Imediabiz Indonesia,0.00,0.00,27,
AS45712,DEPLU-AS-ID Departemen Luar Negeri Republik Indonesia,0.00,0.00,682,
AS45714,STI-AS-ID Sampoerna Telekomunikasi Indonesia, PT,0.00,0.00,208,
AS45715,IDNIC-KEMHAN-AS-ID PUSDATIN KEMHAN RI,0.00,0.00,139,
AS45716,JETFLASH-AS-ID Cikarang Cyberindo PT.,0.00,0.00,530,
AS45722,INTERSATNET-AS-ID Widya Intersat Nusantara, PT,0.00,0.00,1061,
AS45724,MULTIMEDIA-AS-ID Multi Media Access, PT,,,25,
AS45724,MULTIMEDIA-AS-ID Multi Media Access, PT,0.00,0.00,25,
AS45725,KINGS-AS-ID Kings Network Indonesia, PT,0.00,0.00,685,
AS45727,THREE-AS-ID Hutchison CP Telecommunications, PT,0.02,0.00,809734,
AS45729,INDONET-AS-AP INDO Internet, PT,0.00,0.00,136,
AS45731,ARDH-AS-ID ARDH GLOBAL INDONESIA, PT,0.00,0.00,68,
AS45732,DEPKEU-AS-ID Pusat Sistem Informasi dan Teknologi Keuangan ( Pusintek ),0.00,0.00,1245,
AS45733,CIFOR-AS-ID Center For International Forestry Research(CIFOR),,,2,
AS45733,CIFOR-AS-ID Center For International Forestry Research(CIFOR),0.00,0.00,2,
AS45734,IDNIC-METROTV-AS-ID PT Media Televisi Indonesia,0.00,0.00,915,
AS45735,UNINET-NAP-AS-ID PT. UNINET MEDIA SAKTI,,,10,
AS45735,UNINET-NAP-AS-ID PT. UNINET MEDIA SAKTI,0.00,0.00,10,
AS45770,SBY-EPROC-AS-ID Bagian Administrasi Pembangunan - Pemerintah Kota Surabaya,,,6,
AS45770,SBY-EPROC-AS-ID Bagian Administrasi Pembangunan - Pemerintah Kota Surabaya,0.00,0.00,6,
AS45786,HTSNET-AS-ID HTSNET - ISP,0.00,0.00,910,
AS46017,BAKOSURTANAL-AS-ID Badan Koordinasi Survei dan Pemetaan Nasional (BAKOSURTANAL),0.00,0.00,604,
AS46018,DEPPERIN-AS-ID Departemen Perindustrian Republik Indonesia,0.00,0.00,443,
AS46019,UNIBRAW-AS-ID Universitas Brawijaya,0.00,0.00,3085,
AS46023,QUANTUMNET-AS-ID PT Quantum Tera Network,0.00,0.00,7316,
AS46024,BNI-AS-ID PT. Bank Negara Indonesia (Persero), Tbk.,0.00,0.00,837,
AS46025,CBN-GLOBAL-AS-ID PT. Cyberindo Aditama,,,10,
AS46025,CBN-GLOBAL-AS-ID PT. Cyberindo Aditama,0.00,0.00,10,
AS46026,BBT-AS-ID BATAM BINTAN TELEKOMUNIKASI, PT,0.00,0.00,1179,
AS46027,POSTEL-AS-ID Direktorat Jenderal Pos dan Telekomunikasi (Dirjen Postel),0.00,0.00,137,
AS46028,PACNET-AS-ID Transkon Jaya, PT,0.97,0.97,310,
AS46029,SGK-AS-ID PT. SEKAWAN GLOBAL KOMUNIKA,0.00,0.00,116,
AS46030,JASTRINDONET-AS-ID PT Jastrindo Dinamika,,,3,
AS46030,JASTRINDONET-AS-ID PT Jastrindo Dinamika,0.00,0.00,3,
AS46032,GLOBENET-AS-ID Fastel Sarana Indonesia PT,0.00,0.00,822,
AS46034,DEPKES-AS-ID Departemen Kesehatan,0.00,0.00,524,
AS46035,TRIKOMSEL-AS-ID PT Trikomsel Oke Tbk,,,14,
AS46035,TRIKOMSEL-AS-ID PT Trikomsel Oke Tbk,0.00,0.00,14,
AS46038,CEPATNET-AS-ID CepatNet,0.00,0.00,75,
AS46039,BAPEPAM-LK-AS-ID Badan Pengawas Pasar Modal dan Lembaga Keuangan,0.00,0.00,539,
AS46042,GUNADARMA-AS-ID Gunadarma University,0.00,0.00,311,
